id, groupname, regex, msgcol, optype, status, description
1	alt\\.binaries\\..*	(brazilian|chinese|croatian|danish|deutsch|dutch|estonian|flemish|finnish|french|german|greek|hebrew|icelandic|italian|latin|nordic|norwegian|polish|portuguese|japenese|japanese|russian|serbian|slovenian|spanish|spanisch|swedish|thai|turkish)[\\)]?( \\-)?[ \\-\\.]((19|20)\\d\\d|(480|720|1080)(i|p)|3d|5\\.1|dts|ac3|truehd|(bd|dvd|hd|sat|vhs|web)\\.?rip|(bd.)?(h|x).?2?64|divx|xvid|bluray|svcd|board|custom|\"|(d|h|p|s)d?v?tv|m?dvd(-|sc)?r|int(ernal)?|nzb|par2|\\b(((dc|ld|md|ml|dl|hr|se)[.])|(anime\\.)|(fs|ws)|dsr|pal|ntsc|iso|complete|cracked|ebook|extended|dirfix|festival|proper|game|limited|read.?nfo|real|rerip|repack|remastered|retail|samplefix|scan|screener|theatrical|uncut|unrated|incl|winall)\\b|doku|doc|dub|sub|\\(uncut\\))	1	1	0	Blacklists non-english releases.
2	alt\\.binaries\\..*	[ -.](bl|cz|de|es|fr|ger|heb|hu|hun|ita|ko|kor|nl|pl|se)[ -.]((19|20)\\d\\d|(480|720|1080)(i|p)|(bd|dvd.?|sat|vhs)?rip?|(bd|dl)mux|( -.)?(dub|sub)(ed|bed)?|complete|convert|(d|h|p|s)d?tv|dirfix|docu|dual|dvbs|dvdscr|eng|(h|x).?2?64|int(ernal)?|pal|proper|repack|xbox)	1	1	0	Blacklists non-english abbreviated releases.
3	alt\\.binaries\\..*	[ -.]((19|20)\\d\\d|(bd|dvd.?|sat|vhs)?rip?|custom|divx|dts)[ -.](bl|cz|de|es|fr|ger|heb|hu|ita|ko|kor|nl|pl|se)[ -.]	1	1	0	Blacklists non-english abbreviated (reversed) releases.
4	alt\\.binaries\\..*	[ -.](chinese.subbed|dksubs|fansubs?|finsub|hebdub|hebsub|korsub|norsub|nordicsubs|nl( -.)?sub(ed|bed|s)?|nlvlaams|pldub|plsub|slosinh|swesub|truefrench|vost(fr)?)[ -.]	1	1	0	Blacklists non-english subtitled releases.
5	alt\\.binaries\\..*	[ -._](4u\\.nl|nov[ a]+rip|realco|videomann|vost)[ -._]	1	1	0	Blacklists non-english (release group specific) releases.
6	alt\\.binaries\\..*	[ -.]((bd|dl)mux|doku|\\[foreign\\]|seizoen|staffel)[ -.]	1	1	0	Blacklists non-english (lang specific) releases.
7	alt\\.binaries\\..*	[ -.](imageset|pictureset|xxx)[ -.]	1	1	0	Blacklists porn releases.
8	alt\\.binaries\\..*	hdnectar|nzbcave	1	1	0	Bad releases.
9	alt\\.binaries\\..*	Passworded	1	1	0	Removes passworded releases.
10	alt\\.binaries\\.(boneless|movies\\.divx)	((Frkz|info)@XviD2?|x?VIDZ?@pwrpst|movies@movies?)\\.net|(hsv\\.stoned@hotmail|unequal87@gmail|ilove@movies)\\.com	2	1	0	Virus codec posters.
11	alt\\.binaries\\.tun	\\[PRiVATE\\]\\s+[a-z0-9]+ 	1	1	0	Passworded/Encrypted junk.
12	^alt\\.binaries\\.teevee$	^\\[KoreanTV\\] 	1	1	0	Blocks posts by koreantv.
